Tag,Como estava no seu código (Antigo),Como deve ficar para o Google (Novo),Ingles
H1,Hospedaria Astral,Hospedagem em Milho Verde MG,Hospedaria Astral Guest Houses
H2,Nossas Acomodações,Casas de Temporada e Pousada em Milho Verde,Vacation Rentals & Guest Houses in Milho Verde
H3,Casa Redonda,Casa Redonda,Round House
H3,Casa Alto Astral,Casa Alto Astral,High Vibes House
H3,Casa da Montanha,Casa da Montanha,Mountain House
H3,Casinha,Casinha,Little House
H2,"Milho Verde, MG","O que fazer em Milho Verde, Serro e Região: Cachoeiras e Turismo",Things to do in Milho Verde: Waterfalls & Tourism
H2,Fale com a Eliane,Fale com a Eliane,Get in touch with Eliane
H3,Não existia,Reservas e Contato para seu Aluguel em alto astral em Milho Verde, 
,,,
,,,
,TITLE ANTIGO,TITLE NOVO,
,Hospedaria Astral · Milho Verde,Hospedagem e Pousada em Milho Verde / MG - Hospedaria Astral,Hospedagem e Pousada em Milho Verde / MG - Hospedaria Astral
,,,
,Description Antigo,Description NOVO,
,"Quatro casas únicas em Milho Verde, MG — cada uma com seu próprio charme, todas com o cuidado e acolhimento da Eliane, Superhost no Airbnb.""","Melhor hospedagem e pousada em Milho Verde, MG. Casas completas (incluindo a Casa Redonda), pet-friendly e perto das cachoeiras. Reserve direto com Superhost do Airbnb","Best guest houses in Milho Verde, MG. Fully equipped homes (including the Unique Round House), pet-friendly, and near waterfalls. Book with an Airbnb Superhost."
